Minister,Date,Name of Organisation,Purpose of meeting²
"Parliamentary Secretary, Jo Johnson MP ",January ,Resolution Foundation,Policy discussion
"Parliamentary Secretary, Jo Johnson MP ",January ,Policy Exchange,Policy discussion
"Parliamentary Secretary, Jo Johnson MP ",January ,Institute for Government,Policy discussion
"Parliamentary Secretary, Jo Johnson MP ",January ,Taxpayers’ Alliance,Policy discussion
"Parliamentary Secretary, Jo Johnson MP ",January ,Prudential,Policy discussion
"Parliamentary Secretary, Jo Johnson MP ",January ,"Ian Katz, Newsnight",Private dinner
"Parliamentary Secretary, Jo Johnson MP ",February ,"Stephen Fidler, Wall Street Journal",European Politics discussion
"Parliamentary Secretary, Jo Johnson MP ",February ,Association for British Bookmakers,Betting industry discussion
"Parliamentary Secretary, Jo Johnson MP ",February ,"Transport for London, Rothschild & Mayor of London",Transport issues discussion
"Parliamentary Secretary, Jo Johnson MP ",February ,Association of British Insurers,Floods response discussion
"Parliamentary Secretary, Jo Johnson MP ",February ,Association of British Insurers and representatives from the insurance industry,Floods response roundtable
"Parliamentary Secretary, Jo Johnson MP ",February ,Green Alliance,Energy policy discussion
"Parliamentary Secretary, Jo Johnson MP ",February ,Roubini Global Economics,Economic issues discussion
"Parliamentary Secretary, Jo Johnson MP ",February ,Localis,Planning policy discussion
"Parliamentary Secretary, Jo Johnson MP ",February ,Policy Exchange,Policy discussion
"Parliamentary Secretary, Jo Johnson MP ",February ,Network Rail,Transport issues discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,National Housing Federation,Housing discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,Transport for London,Transport issues discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,British Insurance Brokers’ Association,Flooding insurance discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,Centrica,Energy issues discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,World Wide Web Foundation,Web development discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,Policy Exchange,Policy discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,Health Unlocked,Policy discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,Mayor of London and Create Streets,Housing discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,World Wide Web Foundation,Web development discussion
"Parliamentary Secretary, Jo Johnson MP ",March ,Time Partners Ltd,Policy discussion
"Minister Without Portfolio, Rt Hon Grant Shapps MP",January ,"Representatives from: Prudential Vietnam, Rolls-Royce Vietnam;  British University Vietnam;  Techcombank; Hilton Hanoi Opera Hotel;  Freshfields Bruckhaus Deringer LLP;  British Business Group Vietnam",Working dinner with representatives from the UK business community in Vietnam
"Minister Without Portfolio, Rt Hon Grant Shapps MP",January,"Ian Katz, BBC Newsnight",Political discussion [lunch]
"Minister Without Portfolio, Rt Hon Grant Shapps MP",January,"Hugh Whittow, Daily Express; Martin Townsend, Sunday Express; and Dawn Neesom, Daily Star",Political discussion
"Minister Without Portfolio, Rt Hon Grant Shapps MP",January,European Aviation Safety Agency,Red Tape Challenge on General Aviation
"Minister Without Portfolio, Rt Hon Grant Shapps MP",February,CEO of Canary Wharf Group,Discussion about Ho Chi Minh City development
"Minister Without Portfolio, Rt Hon Grant Shapps MP",February,"Sarah Sands, London Evening Standard",Promoting apprenticeships
"Minister Without Portfolio, Rt Hon Grant Shapps MP",March,Ultra Global PRT,Tour and discussion of possible future opportunities for UK technology
"Minister Without Portfolio, Rt Hon Grant Shapps MP",March,Representatives from: Selex ES; Stream Communication;  G4S; Brunswick Group; ULTRA Fairwood; Arup;  EC Harris; Staffordshire Chambers of Commerce & Industry,"Meeting with UK companies attending Smart Cities, Smart Living seminar in Singapore"
"Minister Without Portfolio, Rt Hon Grant Shapps MP",March,Building Construction Authority (Singapore),Meeting to understand the BCA’s role and promote UK strengths in Building Intelligence Modelling and sustainable building
"Minister Without Portfolio, Rt Hon Grant Shapps MP",March,"Representatives from: Diageo, RBS, Aggreko, Barclays, Ogilvy;   British Chamber of Commerce",Round table lunch with leading UK companies
"Minister Without Portfolio, Rt Hon Grant Shapps MP",March,Common Purpose,Meeting to discuss Common Purpose’s work and the Commonwealth Study Programmes
"Minister Without Portfolio, Rt Hon Grant Shapps MP",March,SP Setia Bhd Group Malaysia,Ecocity site visit and discussion of SP Setia local and international projects
