Minister,Month,Org,Purpose,Year
"Lords Government Whip, Baroness Verma",July,National Union of Students,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Verma",July,The Small Business Consultancy,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Verma",July,Confederation of Indian Industry,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Verma",August,Nomura International PLC/Boardwalk,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Verma",August,Black Women's Network,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Verma",August,Gibson Dunn Diversity Group,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Verma",August,Basildon Council,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Verma",Sept,Black Lawyers Directory,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Leader of the House of Commons, Lord Privy Seal, The Rt Hon George Young MP",Oct/Nov/Dec,IPSA,General discussions,2011,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2011.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, David Heath MP",October,IPSA,General discussion,2011,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2011.csv
"Lord Strathclyde, Leader of the House of Lords",Oct-11,Lloyds Banking Group ,General discussion ,2011,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2011.csv
"Lord Strathclyde, Leader of the House of Lords",Oct-11,Goldman Sachs,General discussion,2011,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2011.csv
"Lord Strathclyde, Leader of the House of Lords",Oct-11,Lloyds Banking Group,General discussion,2011,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2011.csv
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Patrick McLoughlin MP",Oct-11,Industry and Parliament Trust,Introductory meeting,2011,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2011.csv
"Commons Government Whip, James Duddridge MP",Nov-11,Apple UK,Ipads in Schools,2011,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2011.csv
"Leader of the House of Commons, Lord Privy Seal, The Rt Hon Andrew Lansley MP",Oct,IPSA,Bilateral,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Tom Brake MP",Nov,IPSA,Bilateral,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Tom Brake MP",Dec,Just Retirement,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde ",Dec,"Convener, Church and Society Council, Church of Scotland",General discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Earl Attlee",Oct,London First,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Newby",Oct,Centre for Turkey studies,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Newby",Oct,Bellerophon,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Newby",Nov,Portman Capital Partners,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Newby",Nov,British Bankers Association,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Newby",Nov,Rydon Construction,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Newby",Dec,Veritech,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Newby",Dec,Early Action Task Force,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Newby",Dec,Jersey Finance Ltd,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Lords Government Whip, Lord Wallace of Saltaire",Dec,British International Studies Association,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsoctdec2012.csv
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",April 2011,Conservative Friends of Israel,To discuss the Police Reform Bill,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",May 2011,The Times,General Discussion ,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",May 2011,Ecosse Films,General Discussion ,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",May 2011,"Murdoch MacLennan, Telegraph",General Discussion ,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",June 2011,Woodland Trust,General Discussion ,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",June 2011,"Geordie Gregg, Evening Standard",General Discussion ,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",June 2011,Respublica,General Discussion ,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Deputy Chief Whip (Treasurer of HM Household), Rt Hon John Randall MP ",May 2011,"Anthony Longden, Newsquest Media Group Ltd",General discussion,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Earl Attlee, Government Whip (Lords)",June 2011,"Institute of Couriers, Transport for London",Briefing regarding traffic arrangements during the Olympic Games in 2012,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Baroness Northover, Government  Whip (Lords)",April 2011,Specialised Healthcare Alliance,To discuss the Health and Social Care Bill,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Baroness Northover, Government  Whip (Lords)",April 2011,CWM Health,To discuss Health policy,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Baroness Northover, Government  Whip (Lords)",May 2011,Royal College of Practitioners,To discuss the Health and Social Care Bill,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Baroness Northover, Government  Whip (Lords)",June 2011,Health Foundation,To discuss the Health and Social Care Bill and Health policy,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Baroness Rawlings, Government Whip (Lords)",June 2011,Sky,Reception,,,,,,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia.csv
"Leader of the House of Commons, Lord Privy Seal, The Rt Hon George Young MP",Jul-2011,ITV,To discuss ITV corporate issues,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia_0.csv
