Meeting ID,Minister,Role,Department,Start Date,End Date,Organization,Representative,Reason,Hospitality?
266,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2014-11,2014-11,BAE Systems,,Discuss Defence Issues,0
267,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2014-12,2014-12,BAE Systems,,Discuss Defence Issues,0
268,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2015-03-15,2015-03-15,BAE Systems,,Dinner,1
269,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2015-03-30,2015-03-30,BAE Systems,,Dinner,1
270,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2015-03,2015-03,BAE Systems,,Introductory Office call,0
271,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2015-03,2015-03,BAE Systems,,Quarterly Review of BAe Portfolio,0
272,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-01-08,2015-01-08,BAE Systems,,Joint TENSOR Board,0
273,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-01-20,2015-01-20,BAE Systems,,Project VECTOR Board,0
274,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-01-22,2015-01-22,BAE Systems,,BAE Programme Update,0
275,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-01-29,2015-01-29,BAE Systems,,Alliance Management Board,0
275,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-01-29,2015-01-29,Thales,,Alliance Management Board,0
275,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-01-29,2015-01-29,Babcock,,Alliance Management Board,0
276,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-03,2015-02-03,BAE Systems,,BAE Programme Update,0
277,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-10,2015-02-10,BAE Systems,,Project VECTOR Board,0
278,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-13,2015-02-13,BAE Systems,,Project TENSOR Board,0
279,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-18,2015-02-18,BAE Systems,,Visit to Barrow & Programme Update,0
280,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-19,2015-02-19,BAE Systems,,Visit to Rosyth & Programme Update,0
280,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-19,2015-02-19,Thales,,Visit to Rosyth & Programme Update,0
280,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-19,2015-02-19,Babcock,,Visit to Rosyth & Programme Update,0
281,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-24,2015-02-24,Babcock,,SESB,0
281,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-24,2015-02-24,Rolls Royce,,SESB,0
281,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-02-24,2015-02-24,BAE Systems,,SESB,0
282,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-03-10,2015-03-10,BAE Systems,,Project VECTOR Board,0
283,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-03-11,2015-03-11,BAE Systems,,Project TENSOR Board,0
284,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-03-26,2015-03-26,BAE Systems,,Alliance Management Board,0
285,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-03-26,2015-03-26,Babcock,,Alliance Management Board,0
286,Vice Admiral Simon Lister,DES CofM Fleet-COM Fleet,Ministry of Defence,2015-03-26,2015-03-26,Thales,,Alliance Management Board,0
287,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2015-01-27,2015-01-27,BAE Systems,,Typoon Future Support Meeting,0
288,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2015-01-27,2015-01-27,Selex,,Typoon Future Support Meeting,0
289,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2015-02-03,2015-02-03,BAE Systems,,Air Programme Update with CDM and DE&S Chairman,0
290,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2015-02-19,2015-02-19,BAE Systems,,Future Typhoon Support work,0
291,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2015-03-19,2015-03-19,BAE Systems,,Site visit to Warton,0
292,Air Chief Marshal Sir Stu Peach,Vice Chief of Defence Staff,Ministry of Defence,2015-02,2015-02,BAE Systems,,Industry Visit,0
293,Air Chief Marshal Sir Andrew Pulford,Chief of the Air Staff,Ministry of Defence,2015-01,2015-01,BAE Systems,Sir Glenn Torpy,General catch up,0
294,Chris Wilkins,Special Advisor,Department for Education,2014-07-30,2014-07-30,BAE Systems,,Lunch,0
295,Sir Jeremy Heywood,Head of the Home Civil Service,Cabinet Office,2014-11,2014-11,BAE Systems,,Discussion on Nuclear Defence Issues,0
296,Sir Jeremy Heywood,Head of the Home Civil Service,Cabinet Office,2014-11,2014-11,BAE Systems,,Discussion on Defence Issues,0
297,Rt Hon Philip Hammond MP,Secretary of State for Foreign and Commonwealth Affairs,Foreign & Commonwealth Office,2015-06,2015-06,BAE Systems,,Prosperity,0
298,Rt Hon Michael Fallon MP,Secretary of State for Defence,Ministry of Defence,2015-06-04,2015-06-04,BAE Systems,,Dinner,1
299,Philip Dunne,Minister (Defence Procurement),Ministry of Defence,2015-06-17,2015-06-17,BAE Systems,,Dinner,1
300,Rt Hon Michael Fallon MP,Secretary of State for Defence,Ministry of Defence,2015-06,2015-06,BAE Systems,,Company Site visit-BAES Govan,0
301,Philip Dunne,Minister (Defence Procurement),Ministry of Defence,2015-06-01,2015-06-01,BAE Systems,,Discuss Defence Issues,0
302,Philip Dunne,Minister (Defence Procurement),Ministry of Defence,2015-09-16,2015-09-16,BAE Systems,,Lunch,1
303,Philip Dunne,Minister (Defence Procurement),Ministry of Defence,2015-09-30,2015-09-30,BAE Systems,,Dinner,1
304,Sir Jeremy Heywood,Head of the Home Civil Service,Cabinet Office,2015-05-23,2015-05-23,BAE Systems,,Opera and dinner,1
305,Rt Hon Michael Fallon MP,Secretary of State for Defence,Ministry of Defence,2015-02,2015-02,BAE Systems,,To discuss defence issues,0
306,Rt Hon Mark Francois MP,Minister of State Armed Forces,Ministry of Defence,2015-03-05,2015-03-05,BAE Systems,,Company site visit,0
307,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2015-01,2015-01,BAE Systems,,Discuss Defence Issues,0
308,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2015-01,2015-01,BAE Systems,,Company site visit,0
309,Tobias Ellwood MP,Parliamentary Under-Secretary of State,Foreign & Commonwealth Office,2015-09-15,2015-09-15,BAE Systems,Sir Roger Carr,Prosperity,0
309,Tobias Ellwood MP,Parliamentary Under-Secretary of State,Foreign & Commonwealth Office,2015-09-15,2015-09-15,BAE Systems,Alan Garwood,Prosperity,0
310,Air Marshall Barry North,Senior Official,Ministry of Defence,2015-05-19,2015-05-19,BAE Systems,,RAES Annual Banquet,1
311,"Bollom, Simon AM",Senior Official,Ministry of Defence,2015-05-12,2015-05-12,BAE Systems,,Working Dinner,1
312,"Bollom, Simon AM",Senior Official,Ministry of Defence,2015-06-10,2015-06-10,BAE Systems,,Working Dinner,1
313,Bernard Gray,Senior Official,Ministry of Defence,2015-04-13,2015-04-13,BAE Systems,,Working Dinner,1
314,Bernard Gray,Senior Official,Ministry of Defence,2015-04-14,2015-04-14,BAE Systems,,Working Lunch during Vector Board,1
315,Bernard Gray,Senior Official,Ministry of Defence,2015-04-22,2015-04-22,BAE Systems,,Working Lunch during Tensor Board,1
316,Bernard Gray,Senior Official,Ministry of Defence,2015-05-12,2015-05-12,BAE Systems,,Working lunch during Vector Board,1
317,Bernard Gray,Senior Official,Ministry of Defence,2015-05-12,2015-05-12,BAE Systems,,Dinner,1
318,Bernard Gray,Senior Official,Ministry of Defence,2015-06-16,2015-06-16,BAE Systems,,Working Lunch during Vector Board,1
319,Bernard Gray,Senior Official,Ministry of Defence,2015-06-23,2015-06-23,BAE Systems,,Working Dinner during Barrow site visit,1
320,Bernard Gray,Senior Official,Ministry of Defence,2015-06-29,2015-06-29,BAE Systems,,Working Dinner,1
320,Bernard Gray,Senior Official,Ministry of Defence,2015-06-29,2015-06-29,Qinetiq,,Working Dinner,1
321,Air Vice Marshall Malcolm Brecht,Senior Official,Ministry of Defence,2015-05-05,2015-05-06,BAE Systems,,Visit & Dinner,1
322,Air Vice Marshall Richard Knighton,Senior Official,Ministry of Defence,2015-05-19,2015-05-19,BAE Systems,,Banquet,1
323,Air Vice Marshall Richard Knighton,Senior Official,Ministry of Defence,2015-06-08,2015-06-08,BAE Systems,,Dinner,1
323,Air Vice Marshall Richard Knighton,Senior Official,Ministry of Defence,2015-06-08,2015-06-08,RAeS,,Dinner,1
324,Air Vice Marshall Richard Knighton,Senior Official,Ministry of Defence,2015-06-16,2015-06-16,BAE Systems,,Dinner,1
325,Air Vice Marshall Stuart Atha,Senior Official,Ministry of Defence,2015-04-14,2015-04-14,BAE Systems,,Dinner,1
326,Air Vice Marshall Susan Gray,Senior Official,Ministry of Defence,2015-05-13,2015-05-13,BAE Systems,,Working Lunch,1
327,Air Vice Marshall Susan Gray,Senior Official,Ministry of Defence,2015-06-22,2015-06-22,BAE Systems,,FSOM Team Dinner,1
328,Maj Gen Nicholas Pope,Senior Official,Ministry of Defence,2015-06-30,2015-06-30,BAE Systems,,Dinner,1
329,Richard Smart,Senior Official,Ministry of Defence,2015-06-11,2015-06-11,BAE Systems,,Dinner,1
330,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2015-11-16,2015-11-16,BAE Systems,,Discuss Defence Issues,0
331,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2015-11-19,2015-11-19,BAE Systems,,Discuss Defence Issues,0
332,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2015-12-01,2015-12-01,BAE Systems,,Discuss Defence Issues,0
333,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2015-12-08,2015-12-08,BAE Systems,,Discuss Defence Issues,0
334,Rt Hon Michael Moore MP,Secretary of State for Scotland,Scotland Office,2010-10,2010-10,BAE Systems,,Defence Issues,0
335,Rt Hon Michael Moore MP,Secretary of State for Scotland,Scotland Office,2010-09,2010-09,BAE Systems,,Meeting to discuss defence issues,0
336,John Manzoni,Permanent Secretary,Cabinet Office,2016-18-01,2016-18-01,BAE Systems,,Dinner,1
337,John Manzoni,Permanent Secretary,Cabinet Office,2016-03-29,2016-03-29,BAE Systems,,Supplier Relationship,0
338,Sir Jeremy Heywood,Head of the Home Civil Service,Cabinet Office,2016-01-14,2016-01-14,BAE Systems,,Discussion on nuclear defence / industrial issues,0
339,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2016-02-14,2016-02-14,BAE Systems,,Dinner in Qatar,1
340,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2016-02-15,2016-02-15,BAE Systems,,Dinner in Singapore,1
